source_marketplace,listing_id,sku,client_product_title,client_scope_state
wildberries,66501273,2022301934004,Открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,66465137,2022284339001,Открытка,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,66465470,2022284464000,Конверт для денег,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,66465570,2022284550000,Оживающие открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,66465687,2022284609005,Конверт для денег,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,66465850,2022284705004,Открытка,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,66466074,2022284762007,Оживающая открытка,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,64013062,2020817963006,Открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,64013416,2020819244004,Открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,57840157,2017838387003,Открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,57840155,2017838339002,Открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,57840156,2017838024007,Открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,47111761,2013168713000,Открытка,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,162078390,2037868680493,Весёлая ферма. Развивающие игры.,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,137095652,2037205552032,Оживающие открытки,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,137306420,2037214005031,Мультазбука. Говорящая азбука. Развивающие игрушки.,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,116090847,2041405958624,Веселые цифры. Развивающие игры.,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,166087482,2038064758054,Мультазбука. Говорящая азбука. Развивающие игры.,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,88684913,2035301401629,Акулёнок,OUT_OF_SCOPE_CLIENT_DECLARED
wildberries,137307039,2037214010202,Оживающая открытка,OUT_OF_SCOPE_CLIENT_DECLARED
