source_marketplace,listing_id,sku,client_product_title,client_scope_state
ozon,1082848375,1602711278,"Чётки - Талисман в машину ""RSOTM"".",IN_SCOPE_CLIENT_SUPPLIED
ozon,1082848825,1602711870,"Чётки - Талисман в машину ""Soldier Of Fortune"".",IN_SCOPE_CLIENT_SUPPLIED
ozon,1082852354,1602715556,"Чётки - Талисман в машину ""Бусидо - Путь Воина"".",IN_SCOPE_CLIENT_SUPPLIED
ozon,1082855228,1602717077,"Чётки  ""Шлем ужаса - Эгисхьяльм"".",IN_SCOPE_CLIENT_SUPPLIED
ozon,1082862005,1602722942,Вегвизир - Рунический компас,IN_SCOPE_CLIENT_SUPPLIED
ozon,1092556350,1611643847,"Гунгнир (Gungner)"" - Копьё Одина.",IN_SCOPE_CLIENT_SUPPLIED
ozon,1092558299,1611695246,"""Валькнут (Valknut)"" - Узел павших.",IN_SCOPE_CLIENT_SUPPLIED
ozon,1106060257,1623753672,Древо Жизни,IN_SCOPE_CLIENT_SUPPLIED
ozon,1112665646,1629493686,Ом (санскр. ॐ) или Аум,IN_SCOPE_CLIENT_SUPPLIED
ozon,1112723580,1629553898,Инь и Ян,IN_SCOPE_CLIENT_SUPPLIED
ozon,1113280875,1630033296,"""Белобог""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1113288401,1630040194,Чернобог,IN_SCOPE_CLIENT_SUPPLIED
ozon,1119957837,1636041142,"""Велес""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1119965443,1636048691,Печать Велеса,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124658338,1640251697,Алатырь (Крест Сварога),IN_SCOPE_CLIENT_SUPPLIED
ozon,1124673031,1640264403,Триглав,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124691132,1640276582,Ратиборец,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124725450,1640306007,Молвинец,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124733734,1640326205,Колядник,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124751825,1640326230,Знич,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124755617,1640330072,Громовик,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124761013,1640334195,Всеславец,IN_SCOPE_CLIENT_SUPPLIED
ozon,1124764995,1640337426,Боговник,IN_SCOPE_CLIENT_SUPPLIED
ozon,1217110817,1720124782,"Знак зодиака ""Стрелец""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217117569,1720131759,"Знак зодиака ""Близнецы""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217124642,1720137256,"Знак зодиака ""Весы""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217129635,1720141903,"Знак зодиака ""Водолей""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217132021,1720144370,"Знак зодиака ""Дева""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217135724,1720147059,"Знак зодиака ""Козерог""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217137863,1720148880,"Знак зодиака ""Овен""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217141020,1720151850,"Знак зодиака ""Лев""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217143121,1720153914,"Знак зодиака ""Рак""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217145315,1720155616,"Знак зодиака ""Рыбы""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217150153,1720160556,"Знак зодиака ""Скорпион""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1217152166,1720161841,"Знак зодиака ""Телец""",IN_SCOPE_CLIENT_SUPPLIED
ozon,1366092977,1842444165,Оберег Родимич,IN_SCOPE_CLIENT_SUPPLIED
ozon,1498533114,1943215793,Молитва Иоанн Златоуст,IN_SCOPE_CLIENT_SUPPLIED
